9.0;1.0;1
10.0;21.0;1
2.0;21.0;0
14.0;1.0;1
6.0;111.0;0
8.0;91.0;0
8.0;101.0;0
4.0;81.0;0
9.0;51.0;1
4.0;111.0;0
7.0;101.0;0
9.0;91.0;1
6.0;71.0;0
7.0;51.0;0
2.0;11.0;1
7.0;11.0;0
13.0;41.0;0
8.0;101.0;1
15.0;51.0;0
11.0;1.0;1
3.0;101.0;0
11.0;61.0;0
15.0;71.0;0
15.0;41.0;0
0.0;1.0;0
10.0;51.0;0
3.0;91.0;0
7.0;21.0;0
10.0;61.0;0
9.0;41.0;0
12.0;11.0;1
1.0;81.0;0
1.0;91.0;0
5.0;71.0;0
1.0;31.0;1
8.0;41.0;1
14.0;81.0;0
4.0;111.0;0
6.0;21.0;1
3.0;71.0;0
0.0;61.0;0
13.0;91.0;0
5.0;71.0;0
5.0;91.0;0
6.0;81.0;1
2.0;101.0;0
12.0;91.0;0
4.0;101.0;0
4.0;81.0;0
3.0;71.0;0
8.0;11.0;1
13.0;61.0;0
4.0;111.0;0
5.0;31.0;1
13.0;61.0;1
3.0;31.0;0
11.0;21.0;0
0.0;91.0;0
8.0;61.0;1
2.0;31.0;0
13.0;1.0;1
9.0;51.0;0
3.0;71.0;0
11.0;1.0;1
0.0;101.0;0
6.0;71.0;0
0.0;91.0;0
4.0;41.0;0
3.0;51.0;0
5.0;11.0;1
14.0;111.0;0
9.0;101.0;0
0.0;1.0;0
14.0;101.0;0
1.0;111.0;0
11.0;61.0;0
13.0;51.0;0
11.0;101.0;0
11.0;1.0;1
1.0;111.0;0
11.0;101.0;0
7.0;51.0;0
3.0;21.0;0
2.0;91.0;0
13.0;81.0;0
8.0;31.0;1
2.0;21.0;0
4.0;21.0;1
5.0;21.0;1
6.0;71.0;1
4.0;91.0;0
8.0;61.0;1
1.0;41.0;0
15.0;91.0;0
11.0;71.0;0
7.0;111.0;0
2.0;101.0;0
6.0;51.0;0
8.0;81.0;0
1.0;61.0;0
12.0;51.0;0
2.0;1.0;1
5.0;61.0;1
13.0;61.0;0
10.0;91.0;0
8.0;21.0;1
4.0;51.0;0
12.0;81.0;1
15.0;71.0;0
15.0;41.0;1
13.0;81.0;0
1.0;31.0;0
5.0;65.0;1
1.0;70.0;1
4.0;64.0;0
14.0;90.0;1
6.0;63.0;1
7.0;43.0;0
11.0;53.0;0
8.0;68.0;0
9.0;20.0;1
10.0;39.0;1
2.0;15.0;1
15.0;60.0;1
12.0;66.0;0
13.0;30.0;1
3.0;63.0;0
0.0;75.0;0
5.0;67.0;0
1.0;75.0;0
4.0;73.0;0
14.0;95.0;1
6.0;66.0;1
7.0;1.0;1
11.0;41.0;0
8.0;64.0;0
9.0;30.0;1
10.0;45.0;0
2.0;17.0;1
15.0;65.0;1
12.0;58.0;0
13.0;35.0;1
3.0;1.0;1
0.0;43.0;0
5.0;65.0;0
1.0;72.0;0
4.0;1.0;1
14.0;98.0;0
6.0;68.0;1
7.0;31.0;1
11.0;12.0;1
8.0;62.0;1
9.0;35.0;1
10.0;41.0;1
2.0;18.0;1
15.0;67.0;1
12.0;35.0;0
13.0;38.0;1
3.0;11.0;0
0.0;1.0;1
5.0;63.0;0
1.0;70.0;0
4.0;30.0;0
14.0;96.0;0
6.0;69.0;1
7.0;37.0;0
11.0;30.0;1
8.0;63.0;0
9.0;37.0;1
10.0;43.0;1
2.0;19.0;1
15.0;68.0;0
12.0;22.0;1
13.0;39.0;1
3.0;5.0;1
0.0;53.0;0
5.0;61.0;0
1.0;1.0;1
4.0;25.0;0
14.0;93.0;0
6.0;69.0;1
7.0;33.0;1
11.0;35.0;1
8.0;62.0;0
9.0;39.0;1
10.0;44.0;1
2.0;19.0;1
15.0;68.0;0
12.0;42.0;0
13.0;40.0;1
3.0;8.0;1
0.0;1.0;1
5.0;53.0;1
1.0;14.0;1
4.0;22.0;1
14.0;91.0;1
6.0;70.0;1
7.0;35.0;1
11.0;38.0;1
8.0;62.0;0
9.0;40.0;1
10.0;47.0;1
2.0;20.0;1
15.0;66.0;1
12.0;1.0;1
13.0;45.0;1
3.0;43.0;0
0.0;27.0;0
5.0;57.0;1
1.0;22.0;1
4.0;23.0;0
14.0;92.0;0
6.0;96.0;1
7.0;36.0;1
11.0;39.0;1
8.0;54.0;0
9.0;45.0;1
10.0;49.0;1
2.0;20.0;1
15.0;67.0;0
12.0;28.0;1
13.0;48.0;1
3.0;9.0;1
0.0;14.0;0
5.0;59.0;1
1.0;35.0;1
4.0;23.0;1
14.0;91.0;0
6.0;158.0;0
7.0;39.0;0
11.0;40.0;0
8.0;47.0;1
9.0;58.0;1
10.0;50.0;1
2.0;25.0;1
15.0;66.0;0
12.0;31.0;1
13.0;49.0;1
3.0;10.0;0
0.0;35.0;0
5.0;60.0;1
1.0;38.0;1
4.0;24.0;1
14.0;70.0;0
6.0;103.0;1
7.0;37.0;1
11.0;39.0;1
8.0;50.0;1
9.0;214.0;0
10.0;55.0;0
2.0;28.0;1
15.0;63.0;1
12.0;33.0;1
13.0;50.0;1
3.0;9.0;0
0.0;1.0;1
5.0;62.0;1
1.0;53.0;1
4.0;26.0;1
14.0;61.0;1
6.0;88.0;1
7.0;38.0;1
11.0;40.0;1
8.0;52.0;0
9.0;66.0;1
10.0;52.0;1
2.0;48.0;1
15.0;65.0;0
12.0;34.0;1
13.0;55.0;1
3.0;7.0;0
0.0;7.0;0
5.0;63.0;1
1.0;56.0;0
4.0;28.0;0
14.0;65.0;0
6.0;132.0;1
7.0;40.0;1
11.0;46.0;0
8.0;50.0;1
9.0;48.0;1
10.0;53.0;1
2.0;29.0;1
15.0;63.0;0
12.0;37.0;1
13.0;71.0;1
3.0;5.0;1
0.0;4.0;1
5.0;65.0;1
1.0;54.0;0
4.0;26.0;1
14.0;26.0;1
6.0;300.0;0
7.0;41.0;1
11.0;42.0;1
8.0;51.0;0
9.0;73.0;1
10.0;54.0;1
2.0;30.0;1
15.0;61.0;0
12.0;39.0;1
13.0;57.0;1
3.0;6.0;1
0.0;5.0;0
5.0;72.0;0
1.0;60.0;1
4.0;35.0;1
14.0;102.0;0
6.0;292.0;0
7.0;48.0;0
11.0;49.0;0
8.0;75.0;0
9.0;112.0;0
10.0;61.0;0
2.0;37.0;0
15.0;74.0;0
12.0;46.0;0
13.0;121.0;0
3.0;16.0;0
5.0;66.0;0
1.0;39.0;0
4.0;38.0;0
14.0;45.0;0
6.0;208.0;0
7.0;42.0;0
11.0;44.0;0
8.0;51.0;0
9.0;49.0;1
10.0;57.0;0
2.0;55.0;0
15.0;1.0;1
12.0;40.0;1
13.0;75.0;0
3.0;7.0;0
